XID,P_ANY,P_I,SERVS_RA,SERVS_DEC,VIDEO_RA,VIDEO_DEC,CFHTLS_RA,CFHTLS_RA,HSC_RA,HSC_DEC,SERVS_ID,VIDEO_ID,CFHT_ID,HSC_ID,SERVS_SEP,VIDEO_SEP,CFHT_SEP,HSC_SEP,SERVS_MAG1,SERVS_MAG2,SERVS_MAG1_ERR,SERVS_MAG2_ERR,VIDEO_YMAG,VIDEO_YMAGERR,VIDEO_JMAG,VIDEO_JMAGERR,VIDEO_HMAG,VIDEO_HMAGERR,VIDEO_KSMAG,VIDEO_KSMAGERR,CFHT_UMAG,CFHT_UMAGERR,CFHT_GMAG,CFHT_GMAGERR,CFHT_RMAG,CFHT_RMAGERR,CFHT_IMAG,CFHT_IMAGERR,CFHT_ZMAG,CFHT_ZMAGERR,HSC_GMAG,HSC_GMAGERR,HSC_RMAG,HSC_RMAGERR,HSC_IMAG,HSC_IMAGERR,HSC_ZMAG,HSC_ZMAGERR,HSC_YMAG,HSC_YMAGERR,MATCH_FLAG
XMM00008,0.9921636581420898,0.9921652674674988,-99.0,-99.0,34.20407485961914,-4.595118522644043,34.20408248901367,34.20408248901367,34.20405197143555,-4.595130443572998,-99.0,644246255264,1105_022859,37485130234749091,-99.0,1.0718703269958496,1.0758904218673706,0.9867709875106812,-99.0,-99.0,-99.0,-99.0,19.430620193481445,0.007181024644523859,-99.0,-99.0,19.090011596679688,0.0066543505527079105,18.86299133300781,0.006200775969773531,23.216, 0.029,21.868, 0.006,20.760, 0.004,-99.0,-99.0,20.047, 0.006,21.7256165,0.00372636365,20.5211639,0.0022715034399999998,-99.0,-99.0,19.728458399999997,0.0020419647899999997,19.6121235,0.0035178367999999997,1
XMM00009,0.01665867306292057,0.7045926451683044,34.20443344116211,-5.377103328704834,34.20443344116211,-5.377049922943115,34.20448303222656,34.20448303222656,34.204429626464844,-5.377073764801025,228958.0,644246018822,1114_059994,37485113054859903,4.170352935791016,4.357475280761719,4.199174404144287,4.276437759399414,21.955333966622028,21.58988192952159,0.08375284271678449,0.07338058757885042,22.70272445678711,0.0400908887386322,-99.0,-99.0,22.32526397705078,0.043801065534353256,22.152299880981445,0.04593716561794281,24.707, 0.129,23.742, 0.044,23.601, 0.057,-99.0,-99.0,23.009, 0.108,23.403717,0.0103791179,23.0465221,0.0125887878,-99.0,-99.0,22.8448734,0.0188468769,22.7354164,0.0444055684,1
XMM00010,0.7526698112487793,0.940514087677002,34.20359420776367,-4.520867824554443,34.20359802246094,-4.520863056182861,34.203636169433594,34.203636169433594,34.203609466552734,-4.5208659172058105,583939.0,644246279904,1105_039205,37485134529711418,4.226215362548828,4.212957859039307,4.079641819000244,4.176809787750244,19.551106910215317,19.928446156115008,0.010499802550557425,0.01672476915521101,20.32771110534668,0.01133638434112072,-99.0,-99.0,19.883516311645508,0.010844556614756584,19.55596923828125,0.00917336717247963,23.628, 0.042,22.844, 0.014,21.900, 0.011,-99.0,-99.0,20.939, 0.013,22.6552029,0.00889839791,21.634193399999997,0.0065008481000000005,-99.0,-99.0,20.6049118,0.005380949939999999,20.4329796,0.009141336199999999,1
XMM00011,0.9635050892829895,0.9874564409255981,34.20648956298828,-4.470224380493164,34.206478118896484,-4.470202922821045,34.20650100708008,34.20650100708008,34.206504821777344,-4.470219135284424,607413.0,644246297181,1105_051299,37485134529714482,3.364701509475708,3.30290150642395,3.2521860599517822,3.333200216293335,18.024556590363794,18.091007538105252,0.003095071554637288,0.004020848976250016,17.821651458740234,0.003447506343945861,-99.0,-99.0,17.271808624267578,0.00307241640985012,17.017326354980472,0.002719838637858629,21.928, 0.012,20.779, 0.003,19.714, 0.003,-99.0,-99.0,18.896, 0.003,19.6315117,0.00141334313,18.4720955,0.000992823392,-99.0,-99.0,17.5305901,0.000950379472,17.3433838,0.00156668201,1
XMM00012,0.994035005569458,0.9862579107284546,34.206939697265625,-4.585562705993652,34.20696258544922,-4.58556604385376,34.20697021484375,34.20697021484375,34.206939697265625,-4.585576057434082,556992.0,644246258687,1105_025066,37485130234749462,1.965550422668457,1.894873023033142,1.900116205215454,1.987051010131836,19.16198671980866,19.361494451022274,0.00637182170347762,0.007824895868084833,19.135536193847656,0.006409286055713892,-99.0,-99.0,18.63174819946289,0.0052948002703487864,18.387815475463867,0.0048748841509222976,23.490, 0.037,21.897, 0.006,20.638, 0.004,-99.0,-99.0,19.788, 0.005,21.6025658,0.00450743316,20.242834100000003,0.0025192431600000002,-99.0,-99.0,19.3627453,0.00185209734,19.1814785,0.00309488853,1
XMM00013,0.9976561665534973,0.9842049479484558,34.2082633972168,-5.295092582702637,34.20827102661133,-5.295024871826172,34.20830535888672,34.20830535888672,34.208274841308594,-5.295042514801025,261172.0,644246041643,1114_079102,37485117349822820,0.07794231921434402,0.23116718232631683,0.22848862409591675,0.1818476915359497,20.146543494465668,19.99323517781861,0.016937796407849953,0.01447989740851704,21.912670135498047,0.027429910376667976,-99.0,-99.0,21.192710876464844,0.02121441811323166,20.94977569580078,0.019609972834587097,22.942, 0.022,22.812, 0.013,22.466, 0.017,-99.0,-99.0,22.447, 0.053,22.732935,0.00694999285,22.3624725,0.00761748943,-99.0,-99.0,22.038688699999998,0.0104590664,21.8404121,0.0190863106,1
XMM00014,0.7229661345481873,0.8576810359954834,34.20984649658203,-4.013169288635254,-99.0,-99.0,34.20986557006836,34.20986557006836,34.20987319946289,-4.013194561004639,704508.0,-99,1105_153689,38549436015605166,1.9895685911178589,-99.0,2.0498621463775635,2.1230034828186035,19.733995068624942,19.175986934130997,0.011547944600851675,0.012870870144995541,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,25.282, 0.189,25.251, 0.124,24.835, 0.147,-99.0,-99.0,23.884, 0.190,24.8947163,0.0588526614,24.2732277,0.0669695511,-99.0,-99.0,23.3672028,0.0527250245,22.999485,0.0836168751,1
XMM00015,0.9989443421363831,0.9946529865264893,34.20914077758789,-4.0285258293151855,-99.0,-99.0,34.20920181274414,34.20920181274414,34.20920181274414,-4.028513431549072,702671.0,-99,1105_150419,38549436015604186,1.520950436592102,-99.0,1.3242573738098145,1.3222178220748901,18.779535725293037,18.628736750480975,0.005865776912687846,0.007144837609844834,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,21.748, 0.010,21.374, 0.004,21.035, 0.005,-99.0,-99.0,20.757, 0.011,21.4544258,0.00322082429,20.969310800000002,0.00274196453,-99.0,-99.0,20.7837086,0.00392418494,20.5770836,0.00757395662,1
XMM00016,0.7708016037940979,0.8457834124565125,34.209251403808594,-4.4229559898376465,34.209251403808594,-4.422952651977539,34.209266662597656,34.209266662597656,34.20925521850586,-4.422966957092285,618872.0,644246311986,1105_060540,38549427425666335,4.016026973724365,4.004066467285156,3.9910738468170166,4.052273273468018,19.132291305083847,19.545726024402136,0.005057828129721815,0.0112654159270669,20.017423629760746,0.010167760774493216,-99.0,-99.0,19.56438636779785,0.009560386650264265,19.21468162536621,0.008003775961697102,23.350, 0.034,22.689, 0.013,21.932, 0.011,-99.0,-99.0,20.729, 0.012,22.436388,0.007025938020000001,21.595018399999997,0.00596454786,-99.0,-99.0,20.4200935,0.004587505479999999,20.1995411,0.007918647490000002,1
XMM00017,0.9979550242424011,0.990638792514801,34.21030044555664,-4.328853607177734,34.21030044555664,-4.328803062438965,34.21030044555664,34.21030044555664,34.210296630859375,-4.328826904296875,644626.0,644246335184,1105_082108,38549431720631033,1.8782788515090942,1.834135890007019,1.843709111213684,1.841216802597046,18.83666603273067,18.783385065075556,0.0061850540063244225,0.004692179134774222,18.80007743835449,0.005716016050428152,-99.0,-99.0,18.344972610473636,0.004729801323264836,18.121299743652344,0.004379917867481709,22.299, 0.014,21.237, 0.004,20.158, 0.003,-99.0,-99.0,19.462, 0.004,20.782093,0.0022843075,19.613407100000003,0.0014415718599999998,-99.0,-99.0,18.8640003,0.0014875697699999997,18.7283287,0.0023693363199999997,1
