,iauname,ra,dec,ep_5_flux,ep_5_flux_err,ep_9_flux,ep_8_flux
104,4XMM J174725.8-300001,266.85782402897,-30.000943315472,1.5360824e-10,4.77005e-13,3.3215052e-11,2.0602006e-10
105,4XMM J132527.6-430108,201.36493834772,-43.018704440757,3.3422928e-10,7.3402807e-13,3.3776856e-11,4.0014694e-10
106,4XMM J203215.2+373815,308.06363131779,37.637519024732,2.0245552e-10,4.5994626e-13,3.409812e-11,2.600679e-10
107,4XMM J175902.8-234308,269.76170176115,-23.719021980261,1.1550908e-10,4.8901464e-13,3.4111925e-11,1.7011001e-10
108,4XMM J005912.5-713844,14.802373009649,-71.645662234876,1.1242617e-10,3.7307708e-13,3.4358832e-11,1.6162316e-10
109,4XMM J121032.5+392421,182.63568846277,39.405864969448,1.834063e-10,4.2631686e-13,3.4454283e-11,2.4315927e-10
110,4XMM J132637.0-620808,201.6541423906,-62.135666626628,2.3066431e-10,8.8929656e-13,3.4743715e-11,3.140149e-10
111,4XMM J162804.4-491204,247.01853254704,-49.201139959852,1.9583522e-10,6.0746772e-12,3.6604813e-11,2.5303046e-10
112,4XMM J180132.2-204142,270.38456191741,-20.695050409633,1.2731706e-10,1.4924225e-12,3.8743522e-11,1.8143655e-10
113,4XMM J074833.7-674507,117.14104447674,-67.752243488615,1.0962874e-10,2.1793754e-13,3.9080142e-11,1.641025e-10
114,4XMM J104503.5-594104,161.26500483564,-59.684565114925,1.4455037e-10,4.3148506e-13,3.9470826e-11,2.0754969e-10
115,4XMM J005138.7-721704,12.911514597852,-72.284571909893,1.36624e-10,3.997103e-13,3.9959043e-11,2.1522117e-10
116,4XMM J165816.4-424150,254.56853725302,-42.697496448804,1.3801132e-10,2.7033328e-12,4.0600034e-11,2.2524643e-10
117,4XMM J175945.5-220139,269.9397291639,-22.027635558099,1.6838624e-10,7.5451597e-13,4.070301e-11,2.4480476e-10
118,4XMM J190938.0+094947,287.4084192181,9.8299536806263,2.1811879e-10,1.0673252e-12,4.0929832e-11,2.854551e-10
119,4XMM J162803.4-491149,247.01444114971,-49.197004323661,2.1605068e-10,5.978441e-12,4.196918e-11,2.8793198e-10
120,4XMM J191149.5+045857,287.95684943256,4.9830232036692,1.4873883e-10,7.027982e-13,4.318776e-11,2.1498589e-10
121,4XMM J191149.5+045857,287.95639343569,4.9827029165294,1.6542603e-10,4.4425257e-13,4.3434888e-11,2.3097847e-10
122,4XMM J181431.5-170847,273.63164877985,-17.146508392613,2.3708333e-10,2.2964996e-12,4.361877e-11,3.300735e-10
123,4XMM J174605.3-293054,266.52246809092,-29.515267552756,4.695087e-10,2.1707844e-12,4.4073793e-11,5.594333e-10
124,4XMM J181227.9-181235,273.11653052952,-18.209772773268,6.4962424e-10,2.5782967e-12,4.4656952e-11,7.37379e-10
125,4XMM J162802.7-491149,247.01139501458,-49.197111482024,2.6102226e-10,4.913005e-12,4.5449523e-11,3.4556039e-10
126,4XMM J162802.9-491157,247.01223319375,-49.199329883586,3.048602e-10,2.298283e-12,4.6010414e-11,3.8886538e-10
127,4XMM J121032.5+392421,182.63576802185,39.405742350299,2.2544763e-10,3.9079167e-13,4.608942e-11,3.0475825e-10
128,4XMM J191149.5+045857,287.95644437168,4.9824663929211,1.4447984e-10,5.1382314e-13,4.6245376e-11,2.1123187e-10
129,4XMM J191149.5+045857,287.95652021526,4.9828200764795,1.5043487e-10,7.545713e-13,4.6513807e-11,2.2111364e-10
130,4XMM J174937.9-282118,267.40827634868,-28.355008886656,2.3897542e-10,9.288404e-13,4.7418625e-11,3.1267317e-10
131,4XMM J220756.2+543106,331.98418890296,54.518425446615,1.8548828e-10,2.430307e-13,4.7682375e-11,2.669293e-10
132,4XMM J053426.9+221625,83.612233006085,22.273614850826,1.0756131e-10,1.0718912e-11,4.8128418e-11,1.6009946e-10
133,4XMM J191149.5+045857,287.95672515597,4.9829168774529,1.7441945e-10,5.809764e-13,4.8418346e-11,2.447512e-10
134,4XMM J181430.2-170906,273.62598387296,-17.150202389003,1.481802e-10,3.0872264e-12,4.8574023e-11,2.2596047e-10
135,4XMM J174805.1-244646,267.02155295142,-24.779537880106,4.042261e-10,8.147235e-13,4.924244e-11,5.604778e-10
136,4XMM J074833.7-674507,117.14070021641,-67.752188804141,1.0934528e-10,2.0217424e-13,5.1862212e-11,1.8094824e-10
137,4XMM J170356.7-375038,255.98660779282,-37.844146794618,8.707899e-10,1.6151105e-12,5.2272024e-11,9.577209e-10
138,4XMM J074833.7-674507,117.1406054319,-67.752145889963,1.1400429e-10,1.2234984e-13,5.3400166e-11,1.8225244e-10
139,4XMM J173857.4-442710,264.73957756505,-44.452815523083,1.0613542e-10,8.7613364e-13,5.4238978e-11,1.9078032e-10
140,4XMM J052029.9-693155,80.126542888332,-69.531796993514,2.2580088e-10,1.7801325e-12,5.5070594e-11,3.4009245e-10
141,4XMM J163216.7-672740,248.0697281519,-67.461188262141,1.1289885e-10,3.7708983e-13,5.608372e-11,1.8045072e-10
142,4XMM J053938.8-694435,84.910411160634,-69.743168096876,1.1245811e-10,4.97736e-13,5.7074588e-11,3.24146e-10
143,4XMM J074833.7-674507,117.14032401643,-67.752303005752,1.1291398e-10,2.303604e-13,5.780982e-11,1.9001724e-10
144,4XMM J170634.5+235818,256.6438180913,23.97182694776,1.0227895e-10,4.2598794e-13,6.0411405e-11,1.814774e-10
145,4XMM J174605.3-293054,266.52100184695,-29.514740678446,6.114786e-10,2.9781813e-12,6.259299e-11,7.3874434e-10
146,4XMM J182341.9-302114,275.92482904294,-30.354117907923,1.0119068e-10,1.2507736e-12,6.2593764e-11,1.7447524e-10
147,4XMM J005433.1-734100,13.636901927196,-73.683801009257,2.0403233e-10,3.4488227e-13,6.328089e-11,2.9299457e-10
148,4XMM J005433.1-734100,13.639755029302,-73.683510582289,1.9869016e-10,1.4815292e-12,6.3353454e-11,2.79668e-10
149,4XMM J053249.4-662212,83.206785946984,-66.370123197353,1.1466919e-10,3.634649e-13,6.733581e-11,1.9792218e-10
150,4XMM J162802.8-491154,247.01176463185,-49.198539051441,5.6783617e-10,1.3389139e-12,6.8148515e-11,6.902429e-10
151,4XMM J162802.8-491154,247.01205454715,-49.198123509423,6.123203e-10,1.3350177e-12,7.003829e-11,7.380888e-10
152,4XMM J162802.8-491154,247.0118119981,-49.198399258706,5.383769e-10,1.1757285e-12,7.007513e-11,6.641787e-10
153,4XMM J074833.7-674507,117.14082064929,-67.752243023195,1.1289704e-10,1.7482356e-13,7.0474994e-11,1.9319257e-10
154,4XMM J074833.7-674507,117.14189924072,-67.751943356611,1.2454977e-10,2.0494274e-13,7.1599206e-11,2.101032e-10
155,4XMM J181431.5-170859,273.63103538105,-17.148782243947,2.0439976e-10,1.2055538e-12,7.229163e-11,3.1892503e-10
